metricname,seen_num,seen_denom,ptsseen_avg,all_num,all_denom,ptsall_avg,seen_norptid,all_norptid,metricarea_id,db_rsid,lastupdate,metric_id,seen_num_over_denom,all_num_over_denom,
COLORECTAL,886,1538,57.607200,1094,2368,46.199300,6564,6565,273,1,12/5/2016 12:00:00 AM,2063,0.576072,0.461993,
COLORECTAL,885,1537,57.579700,1094,2367,46.218800,6564,6565,273,1,12/6/2016 12:00:00 AM,2063,0.575797,0.462188,
COLORECTAL,884,1536,57.552000,1094,2366,46.238300,6564,6565,273,1,12/7/2016 12:00:00 AM,2063,0.575520,0.462383,
COLORECTAL,882,1536,57.421800,1093,2366,46.196100,6564,6565,273,1,12/8/2016 12:00:00 AM,2063,0.574218,0.461961,
COLORECTAL,1766,3074,57.449500,2187,4734,46.197700,6564,6565,273,1,12/9/2016 12:00:00 AM,2063,0.574495,0.461977,
COLORECTAL,881,1534,57.431500,1093,2367,46.176500,6564,6565,273,1,12/11/2016 12:00:00 AM,2063,0.574315,0.461765,
COLORECTAL,882,1534,57.496700,1093,2364,46.235100,6564,6565,273,1,12/12/2016 12:00:00 AM,2063,0.574967,0.462351,
COLORECTAL,884,1534,57.627100,1094,2364,46.277400,6564,6565,273,1,12/13/2016 12:00:00 AM,2063,0.576271,0.462774,
COLORECTAL,885,1533,57.729900,1095,2364,46.319700,6564,6565,273,1,12/14/2016 12:00:00 AM,2063,0.577299,0.463197,
COLORECTAL,883,1530,57.712400,1095,2364,46.319700,6564,6565,273,1,12/15/2016 12:00:00 AM,2063,0.577124,0.463197,
COLORECTAL,881,1531,57.544000,1094,2364,46.277400,6564,6565,273,1,12/16/2016 12:00:00 AM,2063,0.575440,0.462774,
COLORECTAL,879,1528,57.526100,1094,2364,46.277400,6564,6565,273,1,12/18/2016 12:00:00 AM,2063,0.575261,0.462774,
COLORECTAL,880,1533,57.403700,1094,2366,46.238300,6564,6565,273,1,12/19/2016 12:00:00 AM,2063,0.574037,0.462383,
COLORECTAL,878,1530,57.385600,1093,2365,46.215600,6564,6565,273,1,12/20/2016 12:00:00 AM,2063,0.573856,0.462156,
COLORECTAL,875,1526,57.339400,1093,2360,46.313500,6564,6565,273,1,12/21/2016 12:00:00 AM,2063,0.573394,0.463135,
COLORECTAL,874,1522,57.424400,1091,2355,46.326900,6564,6565,273,1,12/22/2016 12:00:00 AM,2063,0.574244,0.463269,
COLORECTAL,875,1523,57.452300,1091,2355,46.326900,6564,6565,273,1,12/23/2016 12:00:00 AM,2063,0.574523,0.463269,
COLORECTAL,875,1523,57.452300,1091,2356,46.307300,6564,6565,273,1,12/25/2016 12:00:00 AM,2063,0.574523,0.463073,
COLORECTAL,875,1523,57.452300,1091,2356,46.307300,6564,6565,273,1,12/26/2016 12:00:00 AM,2063,0.574523,0.463073,
COLORECTAL,876,1525,57.442600,1090,2356,46.264800,6564,6565,273,1,12/27/2016 12:00:00 AM,2063,0.574426,0.462648,
COLORECTAL,876,1524,57.480300,1090,2354,46.304100,6564,6565,273,1,12/28/2016 12:00:00 AM,2063,0.574803,0.463041,
COLORECTAL,874,1522,57.424400,1088,2354,46.219200,6564,6565,273,1,12/29/2016 12:00:00 AM,2063,0.574244,0.462192,
COLORECTAL,873,1521,57.396400,1088,2354,46.219200,6564,6565,273,1,12/30/2016 12:00:00 AM,2063,0.573964,0.462192,
COLORECTAL,872,1520,57.368400,1087,2352,46.215900,6564,6565,273,1,1/1/2017 12:00:00 AM,2063,0.573684,0.462159,
COLORECTAL,871,1520,57.302600,1086,2352,46.173400,6564,6565,273,1,1/2/2017 12:00:00 AM,2063,0.573026,0.461734,
COLORECTAL,868,1516,57.255900,1087,2355,46.157100,6564,6565,273,1,1/3/2017 12:00:00 AM,2063,0.572559,0.461571,
COLORECTAL,869,1518,57.246300,1087,2358,46.098300,6564,6565,273,1,1/4/2017 12:00:00 AM,2063,0.572463,0.460983,
COLORECTAL,870,1518,57.312200,1087,2357,46.117900,6564,6565,273,1,1/5/2017 12:00:00 AM,2063,0.573122,0.461179,
COLORECTAL,870,1518,57.312200,1086,2355,46.114600,6564,6565,273,1,1/6/2017 12:00:00 AM,2063,0.573122,0.461146,
COLORECTAL,870,1517,57.350000,1086,2355,46.114600,6564,6565,273,1,1/8/2017 12:00:00 AM,2063,0.573500,0.461146,
COLORECTAL,871,1519,57.340300,1087,2354,46.176700,6564,6565,273,1,1/9/2017 12:00:00 AM,2063,0.573403,0.461767,
COLORECTAL,870,1521,57.199200,1087,2354,46.176700,6564,6565,273,1,1/10/2017 12:00:00 AM,2063,0.571992,0.461767,
COLORECTAL,869,1519,57.208600,1087,2353,46.196300,6564,6565,273,1,1/11/2017 12:00:00 AM,2063,0.572086,0.461963,
COLORECTAL,869,1522,57.095900,1086,2356,46.095000,6564,6565,273,1,1/12/2017 12:00:00 AM,2063,0.570959,0.460950,
COLORECTAL,868,1519,57.142800,1086,2356,46.095000,6564,6565,273,1,1/13/2017 12:00:00 AM,2063,0.571428,0.460950,
COLORECTAL,868,1518,57.180500,1086,2356,46.095000,6564,6565,273,1,1/15/2017 12:00:00 AM,2063,0.571805,0.460950,
COLORECTAL,871,1520,57.302600,1088,2356,46.179900,6564,6565,273,1,1/16/2017 12:00:00 AM,2063,0.573026,0.461799,
COLORECTAL,869,1519,57.208600,1087,2356,46.137500,6564,6565,273,1,1/17/2017 12:00:00 AM,2063,0.572086,0.461375,
COLORECTAL,869,1517,57.284100,1087,2356,46.137500,6564,6565,273,1,1/18/2017 12:00:00 AM,2063,0.572841,0.461375,
COLORECTAL,869,1516,57.321800,1087,2356,46.137500,6564,6565,273,1,1/19/2017 12:00:00 AM,2063,0.573218,0.461375,
COLORECTAL,867,1512,57.341200,1086,2356,46.095000,6564,6565,273,1,1/20/2017 12:00:00 AM,2063,0.573412,0.460950,
COLORECTAL,865,1510,57.284700,1085,2355,46.072100,6564,6565,273,1,1/22/2017 12:00:00 AM,2063,0.572847,0.460721,
COLORECTAL,867,1511,57.379200,1087,2357,46.117900,6564,6565,273,1,1/23/2017 12:00:00 AM,2063,0.573792,0.461179,
COLORECTAL,866,1510,57.350900,1087,2350,46.255300,6564,6565,273,1,1/24/2017 12:00:00 AM,2063,0.573509,0.462553,
COLORECTAL,864,1508,57.294400,1087,2349,46.275000,6564,6565,273,1,1/25/2017 12:00:00 AM,2063,0.572944,0.462750,
COLORECTAL,863,1505,57.342100,1084,2337,46.384200,6564,6565,273,1,1/26/2017 12:00:00 AM,2063,0.573421,0.463842,
COLORECTAL,863,1506,57.304100,1083,2336,46.361300,6564,6565,273,1,1/27/2017 12:00:00 AM,2063,0.573041,0.463613,
COLORECTAL,862,1505,57.275700,1082,2336,46.318400,6564,6565,273,1,1/29/2017 12:00:00 AM,2063,0.572757,0.463184,
COLORECTAL,863,1506,57.304100,1082,2340,46.239300,6564,6565,273,1,1/30/2017 12:00:00 AM,2063,0.573041,0.462393,
COLORECTAL,861,1505,57.209300,1082,2339,46.259000,6564,6565,273,1,1/31/2017 12:00:00 AM,2063,0.572093,0.462590,
COLORECTAL,864,1509,57.256400,1083,2339,46.301800,6564,6565,273,1,2/1/2017 12:00:00 AM,2063,0.572564,0.463018,
COLORECTAL,861,1504,57.247300,1081,2338,46.236000,6564,6565,273,1,2/2/2017 12:00:00 AM,2063,0.572473,0.462360,
COLORECTAL,859,1501,57.228500,1080,2339,46.173500,6564,6565,273,1,2/3/2017 12:00:00 AM,2063,0.572285,0.461735,
COLORECTAL,858,1499,57.238100,1079,2338,46.150500,6564,6565,273,1,2/5/2017 12:00:00 AM,2063,0.572381,0.461505,
COLORECTAL,860,1500,57.333300,1080,2338,46.193300,6564,6565,273,1,2/6/2017 12:00:00 AM,2063,0.573333,0.461933,
COLORECTAL,860,1497,57.448200,1081,2337,46.255800,6564,6565,273,1,2/7/2017 12:00:00 AM,2063,0.574482,0.462558,
COLORECTAL,859,1496,57.419700,1079,2333,46.249400,6564,6565,273,1,2/8/2017 12:00:00 AM,2063,0.574197,0.462494,
COLORECTAL,858,1496,57.352900,1078,2332,46.226400,6564,6565,273,1,2/9/2017 12:00:00 AM,2063,0.573529,0.462264,
COLORECTAL,860,1499,57.371500,1078,2333,46.206600,6564,6565,273,1,2/10/2017 12:00:00 AM,2063,0.573715,0.462066,
COLORECTAL,858,1498,57.276300,1077,2333,46.163700,6564,6565,273,1,2/12/2017 12:00:00 AM,2063,0.572763,0.461637,
COLORECTAL,859,1501,57.228500,1076,2334,46.101100,6564,6565,273,1,2/13/2017 12:00:00 AM,2063,0.572285,0.461011,
COLORECTAL,862,1502,57.390100,1077,2336,46.104400,6564,6565,273,1,2/14/2017 12:00:00 AM,2063,0.573901,0.461044,
COLORECTAL,859,1500,57.266600,1076,2336,46.061600,6564,6565,273,1,2/15/2017 12:00:00 AM,2063,0.572666,0.460616,
COLORECTAL,856,1496,57.219200,1076,2335,46.081300,6564,6565,273,1,2/16/2017 12:00:00 AM,2063,0.572192,0.460813,
COLORECTAL,855,1493,57.267200,1076,2335,46.081300,6564,6565,273,1,2/17/2017 12:00:00 AM,2063,0.572672,0.460813,
COLORECTAL,852,1491,57.142800,1074,2334,46.015400,6564,6565,273,1,2/19/2017 12:00:00 AM,2063,0.571428,0.460154,
COLORECTAL,855,1498,57.076100,1075,2334,46.058200,6564,6565,273,1,2/20/2017 12:00:00 AM,2063,0.570761,0.460582,
COLORECTAL,854,1498,57.009300,1073,2334,45.972500,6564,6565,273,1,2/21/2017 12:00:00 AM,2063,0.570093,0.459725,
COLORECTAL,854,1499,56.971300,1071,2327,46.024900,6564,6565,273,1,2/22/2017 12:00:00 AM,2063,0.569713,0.460249,
COLORECTAL,856,1501,57.028600,1072,2326,46.087700,6564,6565,273,1,2/23/2017 12:00:00 AM,2063,0.570286,0.460877,
COLORECTAL,855,1499,57.038000,1071,2328,46.005100,6564,6565,273,1,2/24/2017 12:00:00 AM,2063,0.570380,0.460051,
COLORECTAL,854,1499,56.971300,1070,2328,45.962100,6564,6565,273,1,2/26/2017 12:00:00 AM,2063,0.569713,0.459621,
COLORECTAL,859,1502,57.190400,1074,2328,46.134000,6564,6565,273,1,2/27/2017 12:00:00 AM,2063,0.571904,0.461340,
COLORECTAL,861,1503,57.285400,1074,2327,46.153800,6564,6565,273,1,2/28/2017 12:00:00 AM,2063,0.572854,0.461538,
COLORECTAL,860,1501,57.295100,1074,2327,46.153800,6564,6565,273,1,3/1/2017 12:00:00 AM,2063,0.572951,0.461538,
COLORECTAL,858,1500,57.200000,1072,2329,46.028300,6564,6565,273,1,3/2/2017 12:00:00 AM,2063,0.572000,0.460283,
COLORECTAL,857,1499,57.171400,1070,2325,46.021500,6564,6565,273,1,3/3/2017 12:00:00 AM,2063,0.571714,0.460215,
COLORECTAL,853,1493,57.133200,1069,2325,45.978400,6564,6565,273,1,3/5/2017 12:00:00 AM,2063,0.571332,0.459784,
COLORECTAL,852,1494,57.028100,1065,2323,45.845800,6564,6565,273,1,3/6/2017 12:00:00 AM,2063,0.570281,0.458458,
COLORECTAL,1708,2995,57.028300,2130,4645,45.855700,6564,6565,273,1,3/8/2017 12:00:00 AM,2063,0.570283,0.458557,
COLORECTAL,853,1497,56.980600,1064,2321,45.842300,6564,6565,273,1,3/9/2017 12:00:00 AM,2063,0.569806,0.458423,
COLORECTAL,852,1495,56.989900,1064,2320,45.862000,6564,6565,273,1,3/10/2017 12:00:00 AM,2063,0.569899,0.458620,
COLORECTAL,851,1494,56.961100,1064,2319,45.881800,6564,6565,273,1,3/12/2017 12:00:00 AM,2063,0.569611,0.458818,
COLORECTAL,853,1495,57.056800,1065,2317,45.964600,6564,6565,273,1,3/13/2017 12:00:00 AM,2063,0.570568,0.459646,
COLORECTAL,854,1497,57.047400,1065,2317,45.964600,6564,6565,273,1,3/14/2017 12:00:00 AM,2063,0.570474,0.459646,
COLORECTAL,853,1494,57.095000,1065,2316,45.984400,6564,6565,273,1,3/15/2017 12:00:00 AM,2063,0.570950,0.459844,
COLORECTAL,853,1493,57.133200,1066,2313,46.087300,6564,6565,273,1,3/16/2017 12:00:00 AM,2063,0.571332,0.460873,
COLORECTAL,853,1493,57.133200,1067,2313,46.130500,6564,6565,273,1,3/17/2017 12:00:00 AM,2063,0.571332,0.461305,
COLORECTAL,851,1490,57.114000,1066,2313,46.087300,6564,6565,273,1,3/19/2017 12:00:00 AM,2063,0.571140,0.460873,
COLORECTAL,851,1490,57.114000,1066,2314,46.067400,6564,6565,273,1,3/20/2017 12:00:00 AM,2063,0.571140,0.460674,
COLORECTAL,851,1489,57.152400,1066,2311,46.127200,6564,6565,273,1,3/21/2017 12:00:00 AM,2063,0.571524,0.461272,
COLORECTAL,851,1488,57.190800,1064,2296,46.341400,6564,6565,273,1,3/22/2017 12:00:00 AM,2063,0.571908,0.463414,
COLORECTAL,849,1488,57.056400,1063,2296,46.297900,6564,6565,273,1,3/23/2017 12:00:00 AM,2063,0.570564,0.462979,
COLORECTAL,849,1490,56.979800,1063,2296,46.297900,6564,6565,273,1,3/24/2017 12:00:00 AM,2063,0.569798,0.462979,
COLORECTAL,849,1490,56.979800,1063,2298,46.257600,6564,6565,273,1,3/26/2017 12:00:00 AM,2063,0.569798,0.462576,
COLORECTAL,850,1492,56.970500,1063,2299,46.237400,6564,6565,273,1,3/27/2017 12:00:00 AM,2063,0.569705,0.462374,
COLORECTAL,849,1490,56.979800,1063,2297,46.277700,6564,6565,273,1,3/28/2017 12:00:00 AM,2063,0.569798,0.462777,
COLORECTAL,849,1490,56.979800,1063,2293,46.358400,6564,6565,273,1,3/29/2017 12:00:00 AM,2063,0.569798,0.463584,
COLORECTAL,848,1487,57.027500,1062,2290,46.375500,6564,6565,273,1,3/30/2017 12:00:00 AM,2063,0.570275,0.463755,
COLORECTAL,850,1487,57.162000,1063,2290,46.419200,6564,6565,273,1,3/31/2017 12:00:00 AM,2063,0.571620,0.464192,
COLORECTAL,848,1485,57.104300,1063,2290,46.419200,6564,6565,273,1,4/2/2017 12:00:00 AM,2063,0.571043,0.464192,
COLORECTAL,851,1488,57.190800,1064,2291,46.442600,6564,6565,273,1,4/3/2017 12:00:00 AM,2063,0.571908,0.464426,
COLORECTAL,850,1488,57.123600,1064,2291,46.442600,6564,6565,273,1,4/4/2017 12:00:00 AM,2063,0.571236,0.464426,
COLORECTAL,850,1487,57.162000,1064,2291,46.442600,6564,6565,273,1,4/5/2017 12:00:00 AM,2063,0.571620,0.464426,
COLORECTAL,852,1487,57.296500,1065,2290,46.506500,6564,6565,273,1,4/6/2017 12:00:00 AM,2063,0.572965,0.465065,
COLORECTAL,851,1488,57.190800,1064,2288,46.503400,6564,6565,273,1,4/7/2017 12:00:00 AM,2063,0.571908,0.465034,
COLORECTAL,850,1487,57.162000,1064,2288,46.503400,6564,6565,273,1,4/9/2017 12:00:00 AM,2063,0.571620,0.465034,
COLORECTAL,850,1489,57.085200,1063,2289,46.439400,6564,6565,273,1,4/10/2017 12:00:00 AM,2063,0.570852,0.464394,
COLORECTAL,849,1485,57.171700,1063,2289,46.439400,6564,6565,273,1,4/11/2017 12:00:00 AM,2063,0.571717,0.464394,
COLORECTAL,848,1482,57.219900,1060,2286,46.369200,6564,6565,273,1,4/12/2017 12:00:00 AM,2063,0.572199,0.463692,
COLORECTAL,848,1482,57.219900,1059,2284,46.366000,6564,6565,273,1,4/13/2017 12:00:00 AM,2063,0.572199,0.463660,
COLORECTAL,850,1483,57.316200,1061,2284,46.453500,6564,6565,273,1,4/14/2017 12:00:00 AM,2063,0.573162,0.464535,
COLORECTAL,850,1482,57.354900,1061,2285,46.433200,6564,6565,273,1,4/16/2017 12:00:00 AM,2063,0.573549,0.464332,
COLORECTAL,852,1485,57.373700,1063,2287,46.480100,6564,6565,273,1,4/17/2017 12:00:00 AM,2063,0.573737,0.464801,
COLORECTAL,850,1481,57.393600,1063,2287,46.480100,6564,6565,273,1,4/18/2017 12:00:00 AM,2063,0.573936,0.464801,
COLORECTAL,849,1479,57.403600,1058,2276,46.485000,6564,6565,273,1,4/19/2017 12:00:00 AM,2063,0.574036,0.464850,
COLORECTAL,849,1481,57.326100,1058,2272,46.566900,6564,6565,273,1,4/20/2017 12:00:00 AM,2063,0.573261,0.465669,
COLORECTAL,849,1481,57.326100,1058,2272,46.566900,6564,6565,273,1,4/21/2017 12:00:00 AM,2063,0.573261,0.465669,
COLORECTAL,849,1481,57.326100,1057,2274,46.481900,6564,6565,273,1,4/23/2017 12:00:00 AM,2063,0.573261,0.464819,
COLORECTAL,850,1481,57.393600,1058,2275,46.505400,6564,6565,273,1,4/24/2017 12:00:00 AM,2063,0.573936,0.465054,
COLORECTAL,852,1481,57.528600,1058,2275,46.505400,6564,6565,273,1,4/25/2017 12:00:00 AM,2063,0.575286,0.465054,
COLORECTAL,851,1480,57.500000,1056,2268,46.560800,6564,6565,273,1,4/26/2017 12:00:00 AM,2063,0.575000,0.465608,
COLORECTAL,851,1480,57.500000,1056,2267,46.581300,6564,6565,273,1,4/27/2017 12:00:00 AM,2063,0.575000,0.465813,
COLORECTAL,854,1484,57.547100,1057,2265,46.666600,6564,6565,273,1,4/28/2017 12:00:00 AM,2063,0.575471,0.466666,
COLORECTAL,852,1483,57.451100,1055,2264,46.598900,6564,6565,273,1,4/30/2017 12:00:00 AM,2063,0.574511,0.465989,
COLORECTAL,851,1482,57.422400,1053,2261,46.572300,6564,6565,273,1,5/1/2017 12:00:00 AM,2063,0.574224,0.465723,
COLORECTAL,850,1480,57.432400,1052,2259,46.569200,6564,6565,273,1,5/2/2017 12:00:00 AM,2063,0.574324,0.465692,
COLORECTAL,848,1476,57.452500,1050,2252,46.625200,6564,6565,273,1,5/3/2017 12:00:00 AM,2063,0.574525,0.466252,
COLORECTAL,848,1476,57.452500,1051,2254,46.628200,6564,6565,273,1,5/4/2017 12:00:00 AM,2063,0.574525,0.466282,
COLORECTAL,849,1474,57.598300,1052,2255,46.651800,6564,6565,273,1,5/5/2017 12:00:00 AM,2063,0.575983,0.466518,
COLORECTAL,851,1473,57.773200,1054,2255,46.740500,6564,6565,273,1,5/7/2017 12:00:00 AM,2063,0.577732,0.467405,
COLORECTAL,851,1474,57.734000,1054,2256,46.719800,6564,6565,273,1,5/8/2017 12:00:00 AM,2063,0.577340,0.467198,
COLORECTAL,852,1475,57.762700,1054,2256,46.719800,6564,6565,273,1,5/9/2017 12:00:00 AM,2063,0.577627,0.467198,
COLORECTAL,852,1475,57.762700,1055,2257,46.743400,6564,6565,273,1,5/10/2017 12:00:00 AM,2063,0.577627,0.467434,
COLORECTAL,852,1475,57.762700,1055,2257,46.743400,6564,6565,273,1,5/11/2017 12:00:00 AM,2063,0.577627,0.467434,
COLORECTAL,853,1477,57.752200,1055,2257,46.743400,6564,6565,273,1,5/13/2017 12:00:00 AM,2063,0.577522,0.467434,
COLORECTAL,853,1476,57.791300,1054,2256,46.719800,6564,6565,273,1,5/15/2017 12:00:00 AM,2063,0.577913,0.467198,
COLORECTAL,854,1480,57.702700,1053,2257,46.654800,6564,6565,273,1,5/16/2017 12:00:00 AM,2063,0.577027,0.466548,
COLORECTAL,854,1480,57.702700,1053,2256,46.675500,6564,6565,273,1,5/17/2017 12:00:00 AM,2063,0.577027,0.466755,
COLORECTAL,856,1480,57.837800,1054,2256,46.719800,6564,6565,273,1,5/18/2017 12:00:00 AM,2063,0.578378,0.467198,
COLORECTAL,856,1476,57.994500,1055,2255,46.784900,6564,6565,273,1,5/19/2017 12:00:00 AM,2063,0.579945,0.467849,
COLORECTAL,856,1475,58.033800,1055,2256,46.764100,6564,6565,273,1,5/20/2017 12:00:00 AM,2063,0.580338,0.467641,
COLORECTAL,855,1474,58.005400,1055,2256,46.764100,6564,6565,273,1,5/22/2017 12:00:00 AM,2063,0.580054,0.467641,
COLORECTAL,858,1475,58.169400,1058,2256,46.897100,6564,6565,273,1,5/23/2017 12:00:00 AM,2063,0.581694,0.468971,
COLORECTAL,859,1474,58.276700,1057,2247,47.040400,6564,6565,273,1,5/24/2017 12:00:00 AM,2063,0.582767,0.470404,
COLORECTAL,860,1477,58.226100,1057,2249,46.998600,6564,6565,273,1,5/25/2017 12:00:00 AM,2063,0.582261,0.469986,
COLORECTAL,862,1481,58.203900,1058,2248,47.064000,6564,6565,273,1,5/26/2017 12:00:00 AM,2063,0.582039,0.470640,
COLORECTAL,863,1485,58.114400,1058,2249,47.043100,6564,6565,273,1,5/27/2017 12:00:00 AM,2063,0.581144,0.470431,
COLORECTAL,858,1477,58.090700,1055,2245,46.993300,6564,6565,273,1,5/29/2017 12:00:00 AM,2063,0.580907,0.469933,
COLORECTAL,856,1477,57.955300,1053,2244,46.925100,6564,6565,273,1,5/30/2017 12:00:00 AM,2063,0.579553,0.469251,
COLORECTAL,858,1479,58.012100,1055,2241,47.077100,6564,6565,273,1,5/31/2017 12:00:00 AM,2063,0.580121,0.470771,
COLORECTAL,856,1475,58.033800,1054,2239,47.074500,6564,6565,273,1,6/1/2017 12:00:00 AM,2063,0.580338,0.470745,
COLORECTAL,855,1474,58.005400,1053,2233,47.156200,6564,6565,273,1,6/2/2017 12:00:00 AM,2063,0.580054,0.471562,
COLORECTAL,854,1472,58.016300,1052,2232,47.132600,6564,6565,273,1,6/3/2017 12:00:00 AM,2063,0.580163,0.471326,
COLORECTAL,854,1470,58.095200,1053,2231,47.198500,6564,6565,273,1,6/4/2017 12:00:00 AM,2063,0.580952,0.471985,
COLORECTAL,854,1471,58.055700,1052,2230,47.174800,6564,6565,273,1,6/6/2017 12:00:00 AM,2063,0.580557,0.471748,
COLORECTAL,856,1472,58.152100,1054,2232,47.222200,6564,6565,273,1,6/7/2017 12:00:00 AM,2063,0.581521,0.472222,
COLORECTAL,855,1470,58.163200,1053,2232,47.177400,6564,6565,273,1,6/8/2017 12:00:00 AM,2063,0.581632,0.471774,
COLORECTAL,854,1467,58.214000,1053,2231,47.198500,6564,6565,273,1,6/9/2017 12:00:00 AM,2063,0.582140,0.471985,
COLORECTAL,856,1468,58.310600,1055,2231,47.288200,6564,6565,273,1,6/10/2017 12:00:00 AM,2063,0.583106,0.472882,
COLORECTAL,856,1465,58.430000,1055,2230,47.309400,6564,6565,273,1,6/12/2017 12:00:00 AM,2063,0.584300,0.473094,
COLORECTAL,854,1466,58.253700,1053,2229,47.240900,6564,6565,273,1,6/13/2017 12:00:00 AM,2063,0.582537,0.472409,
COLORECTAL,854,1464,58.333300,1051,2226,47.214700,6564,6565,273,1,6/14/2017 12:00:00 AM,2063,0.583333,0.472147,
COLORECTAL,855,1464,58.401600,1052,2225,47.280800,6564,6565,273,1,6/15/2017 12:00:00 AM,2063,0.584016,0.472808,
COLORECTAL,854,1464,58.333300,1054,2227,47.328200,6564,6565,273,1,6/16/2017 12:00:00 AM,2063,0.583333,0.473282,
COLORECTAL,855,1465,58.361700,1055,2228,47.351800,6564,6565,273,1,6/17/2017 12:00:00 AM,2063,0.583617,0.473518,
COLORECTAL,853,1461,58.384600,1054,2229,47.285700,6564,6565,273,1,6/19/2017 12:00:00 AM,2063,0.583846,0.472857,
COLORECTAL,855,1463,58.441500,1054,2225,47.370700,6564,6565,273,1,6/20/2017 12:00:00 AM,2063,0.584415,0.473707,
COLORECTAL,856,1463,58.509900,1054,2219,47.498800,6564,6565,273,1,6/21/2017 12:00:00 AM,2063,0.585099,0.474988,
COLORECTAL,854,1462,58.413100,1053,2218,47.475200,6564,6565,273,1,6/22/2017 12:00:00 AM,2063,0.584131,0.474752,
COLORECTAL,855,1459,58.601700,1052,2209,47.623300,6564,6565,273,1,6/23/2017 12:00:00 AM,2063,0.586017,0.476233,
COLORECTAL,855,1459,58.601700,1050,2206,47.597400,6564,6565,273,1,6/24/2017 12:00:00 AM,2063,0.586017,0.475974,
COLORECTAL,853,1459,58.464700,1048,2207,47.485200,6564,6565,273,1,6/26/2017 12:00:00 AM,2063,0.584647,0.474852,
COLORECTAL,853,1461,58.384600,1048,2206,47.506700,6564,6565,273,1,6/27/2017 12:00:00 AM,2063,0.583846,0.475067,
COLORECTAL,852,1461,58.316200,1045,2196,47.586500,6564,6565,273,1,6/28/2017 12:00:00 AM,2063,0.583162,0.475865,
COLORECTAL,852,1460,58.356100,1045,2195,47.608200,6564,6565,273,1,6/29/2017 12:00:00 AM,2063,0.583561,0.476082,
COLORECTAL,851,1459,58.327600,1045,2195,47.608200,6564,6565,273,1,6/30/2017 12:00:00 AM,2063,0.583276,0.476082,
COLORECTAL,853,1461,58.384600,1046,2198,47.588700,6564,6565,273,1,7/1/2017 12:00:00 AM,2063,0.583846,0.475887,
COLORECTAL,853,1459,58.464700,1046,2198,47.588700,6564,6565,273,1,7/3/2017 12:00:00 AM,2063,0.584647,0.475887,
COLORECTAL,855,1463,58.441500,1047,2200,47.590900,6564,6565,273,1,7/4/2017 12:00:00 AM,2063,0.584415,0.475909,
COLORECTAL,855,1463,58.441500,1047,2200,47.590900,6564,6565,273,1,7/5/2017 12:00:00 AM,2063,0.584415,0.475909,
COLORECTAL,855,1465,58.361700,1047,2200,47.590900,6564,6565,273,1,7/6/2017 12:00:00 AM,2063,0.583617,0.475909,
COLORECTAL,856,1467,58.350300,1048,2201,47.614700,6564,6565,273,1,7/7/2017 12:00:00 AM,2063,0.583503,0.476147,
COLORECTAL,858,1468,58.446800,1049,2201,47.660100,6564,6565,273,1,7/8/2017 12:00:00 AM,2063,0.584468,0.476601,
COLORECTAL,857,1466,58.458300,1049,2201,47.660100,6564,6565,273,1,7/10/2017 12:00:00 AM,2063,0.584583,0.476601,
COLORECTAL,858,1468,58.446800,1050,2203,47.662200,6564,6565,273,1,7/11/2017 12:00:00 AM,2063,0.584468,0.476622,
COLORECTAL,857,1465,58.498200,1050,2201,47.705500,6564,6565,273,1,7/12/2017 12:00:00 AM,2063,0.584982,0.477055,
COLORECTAL,858,1467,58.486700,1050,2201,47.705500,6564,6565,273,1,7/13/2017 12:00:00 AM,2063,0.584867,0.477055,
COLORECTAL,859,1468,58.514900,1050,2201,47.705500,6564,6565,273,1,7/14/2017 12:00:00 AM,2063,0.585149,0.477055,
COLORECTAL,859,1465,58.634800,1050,2202,47.683900,6564,6565,273,1,7/15/2017 12:00:00 AM,2063,0.586348,0.476839,
COLORECTAL,858,1466,58.526600,1049,2203,47.616800,6564,6565,273,1,7/17/2017 12:00:00 AM,2063,0.585266,0.476168,
COLORECTAL,860,1469,58.543200,1050,2205,47.619000,6564,6565,273,1,7/18/2017 12:00:00 AM,2063,0.585432,0.476190,
COLORECTAL,859,1467,58.554800,1050,2206,47.597400,6564,6565,273,1,7/19/2017 12:00:00 AM,2063,0.585548,0.475974,
COLORECTAL,859,1466,58.594800,1050,2206,47.597400,6564,6565,273,1,7/20/2017 12:00:00 AM,2063,0.585948,0.475974,
COLORECTAL,859,1467,58.554800,1050,2205,47.619000,6564,6565,273,1,7/21/2017 12:00:00 AM,2063,0.585548,0.476190,
COLORECTAL,859,1467,58.554800,1050,2206,47.597400,6564,6565,273,1,7/22/2017 12:00:00 AM,2063,0.585548,0.475974,
COLORECTAL,856,1465,58.430000,1049,2206,47.552100,6564,6565,273,1,7/24/2017 12:00:00 AM,2063,0.584300,0.475521,
COLORECTAL,858,1467,58.486700,1049,2208,47.509000,6564,6565,273,1,7/25/2017 12:00:00 AM,2063,0.584867,0.475090,
COLORECTAL,857,1466,58.458300,1048,2208,47.463700,6564,6565,273,1,7/26/2017 12:00:00 AM,2063,0.584583,0.474637,
COLORECTAL,858,1465,58.566500,1048,2207,47.485200,6564,6565,273,1,7/27/2017 12:00:00 AM,2063,0.585665,0.474852,
COLORECTAL,857,1466,58.458300,1046,2206,47.416100,6564,6565,273,1,7/28/2017 12:00:00 AM,2063,0.584583,0.474161,
